,year,month,time,CGR,tmp_cru,pre_cru,pre_gpcc,tws_grace,nina34,nina3,nina4,eruption
2012-10-01,2012,10,2012-10-01,-0.3798739557395099,-0.19062374223904188,-0.625539786342095,1.6393149037201928,8.02548509900896,-0.21319312279805594,0.044828988895099654,-0.4785504196807745,0
2012-11-01,2012,11,2012-11-01,0.9779642176650225,-0.15085739869235568,-0.7923793270282226,1.043663897587777,6.632910555411734,-0.10083274682316848,0.13606407793104444,-0.37921230292802777,0
2012-12-01,2012,12,2012-12-01,0.5254737853713936,-0.1096044322258932,-1.8781364202159878,-0.16461664959207534,5.138672288830013,-0.033467748760962424,0.17731305566855915,-0.2906860154262902,0
2013-01-01,2013,1,2013-01-01,0.4349087092542232,-0.06317790084415814,-2.4139031664974664,-0.45606648026394614,3.6735408024668663,-0.005273807274235567,0.16938140640594582,-0.21301426395547202,0
2013-02-01,2013,2,2013-02-01,1.537141968179204,-0.046436856390478176,-3.0673728300188343,-0.5634349110934945,2.3653867709472047,0.007086900884239966,0.13811638286468814,-0.15367571533403898,0
2013-03-01,2013,3,2013-03-01,1.7026931511530758,0.009117144394178156,-3.343786617677597,-1.6348426962190237,0.8143664268881325,0.03696116490877182,0.1427264315957513,-0.1209397225286794,0
2013-04-01,2013,4,2013-04-01,-0.027976780659341616,0.007696363210295487,-3.716086161851556,-1.6336447159987115,-0.2512489721976081,0.057655363830285807,0.11396132251285489,-0.09493430113122885,0
2013-05-01,2013,5,2013-05-01,1.734724906028493,0.022533591796237207,-3.480653867830936,-1.8224328896971334,-1.1262944716621206,0.050854113657811374,0.037710095406542854,-0.07140746699473557,0
2013-06-01,2013,6,2013-06-01,1.324651651491639,0.036535911676588484,-2.7583767298302235,-1.003691889928255,-1.5588985253267342,0.014048430987547017,-0.0735551116011498,-0.05623522363845607,0
2013-07-01,2013,7,2013-07-01,1.4259501130057082,0.052018895955665445,-2.366671888371758,-0.459247909654524,-1.8175005731421976,-0.039419392608047464,-0.17980643782864636,-0.055208267377372694,0
2013-08-01,2013,8,2013-08-01,1.1010735179238504,0.035615898815297975,-1.777156731262966,-0.20805830011517967,-1.8609464271519887,-0.11039166735384631,-0.2777384183973418,-0.07753592668703095,0
2013-09-01,2013,9,2013-09-01,0.2436952210550325,0.03625724557702198,-1.071288238620109,0.20869858773041794,-1.6868896680418493,-0.1571972540167548,-0.33400379019167037,-0.10486355843668739,0
2013-10-01,2013,10,2013-10-01,0.7283887957993003,0.01562123891041256,-0.19094521752459293,0.7101516868889675,-1.360216132494001,-0.19566501607376452,-0.35192194953560363,-0.1346698562562526,0
